order_number,barcode,quantity,description,sku,location
WO-20001,013307708289,6,Edge protector 2in,SKU-1027,C-09-03
WO-20001,012419681169,12,Packing tape 48mm,SKU-1003,C-03-03
WO-20001,013233706021,1,Thermal ribbon 110mm,SKU-1025,A-07-01
WO-20001,012974698114,2,Pallet label sleeve,SKU-1018,F-09-12
WO-20001,013344709416,12,Strapping buckle (1000),SKU-1028,D-01-10
WO-20001,012493683424,4,Cable ties 8in (100),SKU-1005,E-05-05
WO-20001,013270707159,2,Kraft paper roll 30in,SKU-1026,B-08-08
WO-20001,013122702639,12,Barcode scanner holster,SKU-1022,D-04-04
WO-20002,013159703760,3,Marker black (12),SKU-1023,E-05-11
WO-20002,012678689074,6,Corrugated box 18x12x6,SKU-1010,D-01-04
WO-20002,012789692468,12,Safety glasses clear,SKU-1013,A-04-01
WO-20002,013122702639,6,Barcode scanner holster,SKU-1022,D-04-04
WO-20003,012604686818,3,Bubble mailer #5,SKU-1008,B-08-02
WO-20003,012419681169,1,Packing tape 48mm,SKU-1003,C-03-03
WO-20004,013011699248,1,Dunnage air pillows,SKU-1019,A-01-07
WO-20004,012604686818,2,Bubble mailer #5,SKU-1008,B-08-02
WO-20004,012345678905,1,Blue widget 12-pack,SKU-1001,A-01-01
WO-20004,012419681169,1,Packing tape 48mm,SKU-1003,C-03-03
WO-20005,012419681169,2,Packing tape 48mm,SKU-1003,C-03-03
WO-20005,012937696980,12,Void fill paper roll,SKU-1017,E-08-05
WO-20005,012604686818,1,Bubble mailer #5,SKU-1008,B-08-02
WO-20005,012641687946,6,Corrugated box 12x12x12,SKU-1009,C-09-09
WO-20005,013122702639,2,Barcode scanner holster,SKU-1022,D-04-04
WO-20005,012900695859,6,Poly mailer 10x13,SKU-1016,D-07-10
WO-20006,012567685682,4,Bubble mailer #2,SKU-1007,A-07-07
WO-20006,012456682297,6,Stretch wrap 18in,SKU-1004,D-04-10
WO-20006,013381710543,1,Desiccant pack (50),SKU-1029,E-02-05
WO-20006,013122702639,1,Barcode scanner holster,SKU-1022,D-04-04
WO-20006,012826693595,1,Box cutter,SKU-1014,B-05-08
WO-20006,012752691337,4,Nitrile gloves L (100),SKU-1012,F-03-06
WO-20006,013270707159,3,Kraft paper roll 30in,SKU-1026,B-08-08
WO-20007,012604686818,2,Bubble mailer #5,SKU-1008,B-08-02
WO-20007,012567685682,12,Bubble mailer #2,SKU-1007,A-07-07
WO-20008,012493683424,12,Cable ties 8in (100),SKU-1005,E-05-05
WO-20008,012826693595,1,Box cutter,SKU-1014,B-05-08
WO-20008,012530684551,1,Label roll 4x6 (250),SKU-1006,F-06-12
WO-20008,012641687946,12,Corrugated box 12x12x12,SKU-1009,C-09-09
WO-20008,012863694722,1,Zip bags 6x9 (500),SKU-1015,C-06-03
WO-20008,012604686818,1,Bubble mailer #5,SKU-1008,B-08-02
WO-20008,012419681169,2,Packing tape 48mm,SKU-1003,C-03-03
WO-20008,013270707159,1,Kraft paper roll 30in,SKU-1026,B-08-08
WO-20009,012900695859,1,Poly mailer 10x13,SKU-1016,D-07-10
WO-20009,013418711673,4,Fragile tape 2in,SKU-1030,F-03-12
WO-20009,012567685682,2,Bubble mailer #2,SKU-1007,A-07-07
WO-20009,012789692468,6,Safety glasses clear,SKU-1013,A-04-01
WO-20009,012382680039,2,Red widget 12-pack,SKU-1002,B-02-08
WO-20009,012530684551,4,Label roll 4x6 (250),SKU-1006,F-06-12
WO-20009,013307708289,12,Edge protector 2in,SKU-1027,C-09-03
WO-20010,012493683424,1,Cable ties 8in (100),SKU-1005,E-05-05
WO-20010,012567685682,3,Bubble mailer #2,SKU-1007,A-07-07
WO-20010,012678689074,1,Corrugated box 18x12x6,SKU-1010,D-01-04
WO-20010,013381710543,1,Desiccant pack (50),SKU-1029,E-02-05
WO-20010,012382680039,6,Red widget 12-pack,SKU-1002,B-02-08
WO-20010,013011699248,12,Dunnage air pillows,SKU-1019,A-01-07
WO-20010,013196704898,12,Clipboard letter,SKU-1024,F-06-06
WO-20010,012974698114,1,Pallet label sleeve,SKU-1018,F-09-12
WO-20011,012937696980,1,Void fill paper roll,SKU-1017,E-08-05
WO-20012,012419681169,2,Packing tape 48mm,SKU-1003,C-03-03
WO-20012,013048700375,4,Hand truck wheel,SKU-1020,B-02-02
WO-20012,013122702639,1,Barcode scanner holster,SKU-1022,D-04-04
WO-20013,013011699248,4,Dunnage air pillows,SKU-1019,A-01-07
WO-20013,013048700375,12,Hand truck wheel,SKU-1020,B-02-02
WO-20013,012382680039,3,Red widget 12-pack,SKU-1002,B-02-08
WO-20013,012419681169,2,Packing tape 48mm,SKU-1003,C-03-03
WO-20014,013122702639,2,Barcode scanner holster,SKU-1022,D-04-04
WO-20014,013159703760,4,Marker black (12),SKU-1023,E-05-11
WO-20014,012715690209,1,Nitrile gloves M (100),SKU-1011,E-02-11
WO-20014,012604686818,2,Bubble mailer #5,SKU-1008,B-08-02
WO-20015,012715690209,1,Nitrile gloves M (100),SKU-1011,E-02-11
WO-20015,013233706021,12,Thermal ribbon 110mm,SKU-1025,A-07-01
WO-20015,012419681169,2,Packing tape 48mm,SKU-1003,C-03-03
WO-20015,012345678905,12,Blue widget 12-pack,SKU-1001,A-01-01
WO-20015,012863694722,2,Zip bags 6x9 (500),SKU-1015,C-06-03
WO-20015,013048700375,1,Hand truck wheel,SKU-1020,B-02-02
WO-20015,013011699248,3,Dunnage air pillows,SKU-1019,A-01-07
WO-20015,012456682297,1,Stretch wrap 18in,SKU-1004,D-04-10
WO-20016,012752691337,12,Nitrile gloves L (100),SKU-1012,F-03-06
WO-20016,012678689074,2,Corrugated box 18x12x6,SKU-1010,D-01-04
WO-20016,012530684551,12,Label roll 4x6 (250),SKU-1006,F-06-12
WO-20016,012863694722,1,Zip bags 6x9 (500),SKU-1015,C-06-03
WO-20017,013418711673,2,Fragile tape 2in,SKU-1030,F-03-12
WO-20017,013122702639,1,Barcode scanner holster,SKU-1022,D-04-04
WO-20017,012456682297,1,Stretch wrap 18in,SKU-1004,D-04-10
WO-20017,013381710543,12,Desiccant pack (50),SKU-1029,E-02-05
WO-20017,012493683424,1,Cable ties 8in (100),SKU-1005,E-05-05
WO-20018,012678689074,2,Corrugated box 18x12x6,SKU-1010,D-01-04
WO-20018,013048700375,2,Hand truck wheel,SKU-1020,B-02-02
WO-20018,012567685682,12,Bubble mailer #2,SKU-1007,A-07-07
WO-20018,013159703760,6,Marker black (12),SKU-1023,E-05-11
WO-20018,012715690209,2,Nitrile gloves M (100),SKU-1011,E-02-11
WO-20019,012419681169,4,Packing tape 48mm,SKU-1003,C-03-03
WO-20020,012382680039,2,Red widget 12-pack,SKU-1002,B-02-08
WO-20020,012345678905,1,Blue widget 12-pack,SKU-1001,A-01-01
WO-20020,012715690209,6,Nitrile gloves M (100),SKU-1011,E-02-11
WO-20020,013233706021,12,Thermal ribbon 110mm,SKU-1025,A-07-01
WO-20020,012493683424,4,Cable ties 8in (100),SKU-1005,E-05-05
WO-20021,012456682297,1,Stretch wrap 18in,SKU-1004,D-04-10
WO-20022,012974698114,3,Pallet label sleeve,SKU-1018,F-09-12
WO-20022,012382680039,12,Red widget 12-pack,SKU-1002,B-02-08
WO-20022,013307708289,1,Edge protector 2in,SKU-1027,C-09-03
